p_e,u,u_e,delta,converged,y
0.0,0.93,0.05,0.68,False,0.0
0.0,0.93,0.05,0.9,True,0.0
0.0,0.93,0.05,0.9,True,0.0
0.0,0.93,0.05,0.9,True,0.0
0.0,0.93,0.05,0.9,True,0.0
0.0,0.93,0.05,0.9,False,0.0
0.0,0.93,0.09,0.0,True,0.0
0.0,0.93,0.09,0.0,True,0.0
0.0,0.93,0.09,0.0,True,0.0
0.0,0.93,0.09,0.0,True,0.0
0.0,0.93,0.09,0.0,False,0.0
0.0,0.93,0.09,0.22,True,0.0
0.0,0.93,0.09,0.22,True,0.0
0.0,0.93,0.09,0.22,True,0.0
0.0,0.93,0.09,0.22,True,0.0
0.0,0.93,0.09,0.22,False,0.0
0.0,0.93,0.09,0.45,True,0.0
0.0,0.93,0.09,0.45,True,0.0
0.0,0.93,0.09,0.45,True,0.0
0.0,0.93,0.09,0.45,True,0.0
0.0,0.93,0.09,0.45,False,0.0
0.0,0.93,0.09,0.68,True,0.0
0.0,0.93,0.09,0.68,True,0.0
0.0,0.93,0.09,0.68,True,0.0
0.0,0.93,0.09,0.68,True,0.0
0.0,0.93,0.09,0.68,False,0.0
0.0,0.93,0.09,0.9,True,0.0
0.0,0.93,0.09,0.9,True,0.0
0.0,0.93,0.09,0.9,True,0.0
0.0,0.93,0.09,0.9,True,0.0
0.0,0.93,0.09,0.9,False,0.0
0.0,0.93,0.12,0.0,True,0.0
0.0,0.93,0.12,0.0,True,0.0
0.0,0.93,0.12,0.0,True,0.0
0.0,0.93,0.12,0.0,True,0.0
0.0,0.93,0.12,0.0,False,0.0
0.0,0.93,0.12,0.22,True,0.0
0.0,0.93,0.12,0.22,True,0.0
0.0,0.93,0.12,0.22,True,0.0
0.0,0.93,0.12,0.22,True,0.0
0.0,0.93,0.12,0.22,False,0.0
0.0,0.93,0.12,0.45,True,0.0
0.0,0.93,0.12,0.45,True,0.0
0.0,0.93,0.12,0.45,True,0.0
0.0,0.93,0.12,0.45,True,0.0
0.0,0.93,0.12,0.45,False,0.0
0.0,0.93,0.12,0.68,True,0.0
0.0,0.93,0.12,0.68,True,0.0
0.0,0.93,0.12,0.68,True,0.0
0.0,0.93,0.12,0.68,True,0.0
0.0,0.93,0.12,0.68,False,2.5e-05
0.0,0.93,0.12,0.9,True,0.0
0.0,0.93,0.12,0.9,True,0.0
0.0,0.93,0.12,0.9,True,0.0
0.0,0.93,0.12,0.9,True,0.0
0.0,0.93,0.12,0.9,False,0.0
0.0,0.93,0.16,0.0,True,0.0
0.0,0.93,0.16,0.0,True,0.0
0.0,0.93,0.16,0.0,True,0.0
0.0,0.93,0.16,0.0,True,0.0
0.0,0.93,0.16,0.0,False,0.0
0.0,0.93,0.16,0.22,True,0.0
0.0,0.93,0.16,0.22,True,0.0
0.0,0.93,0.16,0.22,True,0.0
0.0,0.93,0.16,0.22,True,0.0
0.0,0.93,0.16,0.22,False,0.0
0.0,0.93,0.16,0.45,True,0.0
0.0,0.93,0.16,0.45,True,0.0
0.0,0.93,0.16,0.45,True,0.0
0.0,0.93,0.16,0.45,True,0.0
0.0,0.93,0.16,0.45,False,0.0
0.0,0.93,0.16,0.68,True,0.0
0.0,0.93,0.16,0.68,True,0.0
0.0,0.93,0.16,0.68,True,0.0
0.0,0.93,0.16,0.68,True,0.0
0.0,0.93,0.16,0.68,False,0.0
0.0,0.93,0.16,0.9,True,0.0
0.0,0.93,0.16,0.9,True,0.0
0.0,0.93,0.16,0.9,True,0.0
0.0,0.93,0.16,0.9,True,0.0
0.0,0.93,0.16,0.9,False,0.0
