,p11,p13,p21,p23,market share,competitor share
8389,0.8168507328836235,0.16956439874091084,0.41509957058440783,0.4279750692499049,0.8800677814969373,0.005895533036840929
8390,0.0517489443326169,0.37266484774869757,0.4262838979876906,0.11953594433271451,0.007222925240202717,0.8427722136079698
8391,0.6639638238843655,0.3320436448371292,0.839036369187118,0.14904361912379416,0.009624513322832566,0.8924352557108416
8392,0.6357142876992934,0.26045322648218083,0.042373723837781374,0.5810033707528961,0.7700970603097136,0.007347066808702628
8393,0.9391660981556703,0.07225636073967914,0.17064823653560612,0.2531355096152293,0.9561689982964121,0.0015735626422216196
8394,0.8448058154336949,0.10156877631088272,0.6749260530715868,0.2585890916255612,0.9264613769523923,0.00726334119232204
8395,0.3386499656014269,0.24796370742704693,0.8344578391818438,0.05572290091603276,0.0018848473292967533,0.9614856031735994
8396,0.2758580115345026,0.2062929763660083,0.5461110842027411,0.02693763660477633,0.002011665534543826,0.9712297424594101
8397,0.780113288934743,0.13451767488109234,0.6692340786015831,0.32634316993648527,0.893786198572128,0.011041009552046848
8398,0.7981008325687806,0.16430121532693415,0.5072481743071876,0.08558007835864696,0.8728143705310016,0.015928106428915928
8399,0.5221375471889467,0.3588545215839165,0.6684539470852829,0.17107336132738798,0.013664323869013385,0.8461185988523678
8400,0.10889961688914296,0.27614999300201737,0.7747181486985062,0.0024825592869840833,6.689090840986368e-05,0.9981785567458191
8401,0.6478302772058514,0.17809275934438673,0.5356010327388462,0.2225582887816973,0.821338887288897,0.029309778834943644
8402,0.5816123525511915,0.3102674246883754,0.4911354827851362,0.21197383470577824,0.39869324087637487,0.3434604220311225
8403,0.7431353471918141,0.1562347117095009,0.9453111976752124,0.020947221232806353,0.0013630492673903432,0.9864061719651224
8404,0.018626388344468392,0.6174437429756817,0.6835379832035005,0.06401050912372105,0.0014562290876184746,0.9472600200992783
8405,0.3358421812256037,0.3142497352537377,0.9958467652810524,0.0022520246286531773,4.819534804854301e-05,0.998704355731456
8406,0.9082711747191102,0.09591483825865185,0.005571028236018072,0.29641242879774776,0.9402321884245132,0.0018301508783963457
8407,0.6289622434316278,0.3195642952325953,0.15769925811753693,0.5623562269528345,0.7134866278974455,0.011119904723739566
8408,0.3174864585734266,0.47738982865076196,0.9363060937241884,0.0010188942958025918,2.0898883252062186e-05,0.9993780719831326
8409,0.2531089922384855,0.5265304256715505,0.7471500486683741,0.2209025522419313,0.006568910130660207,0.831582402999714
8410,0.8647060682992657,0.10961167054992203,0.9076405116490852,0.027461886610929118,0.00609887118818322,0.977062912054689
8411,0.7681999934962431,0.16926148295651472,0.25170549045476864,0.0223106810060837,0.8714046690177504,0.009763529840860067
8412,0.9151576635239503,0.09684974022855741,0.6999348421845972,0.06448361474857144,0.9321250845217679,0.01020751951174439
8413,0.09792614641401964,0.3122183939230958,0.22821649479503026,0.0987714334556348,0.01763592422584729,0.7601114962019131
8414,0.9912017326554481,0.0913635661299803,0.037474795528415705,0.6430757527043501,0.9478615031207994,0.00125092999040387
8415,0.7354843407458992,0.19536598737661034,0.8531767667400058,0.048098757087616045,0.004376842049561243,0.9644675893508475
8416,0.6973213244443166,0.22400833694863775,0.7328817159414459,0.025189225999248024,0.0030179151261111492,0.9778987837881262
8417,0.8801527743437075,0.10433313246993259,0.36037267138501483,0.12476528924120864,0.9311820053873825,0.004036324231021305
8418,0.8071139360335087,0.1607954972653258,0.9344092190682334,0.017031510293657397,0.0014388801606555134,0.9884710291804938
8419,0.22883630643909358,0.6196649269532857,0.5089027877402268,0.005340609089914016,0.00021581296905942107,0.9940483233444022
8420,0.14949392540853745,0.40244670993859877,0.5663462246549803,0.011380938673387587,0.0004652900611880005,0.9885852187529302
8421,0.11140732406699727,0.7813072005942915,0.20436086387671504,0.3260813966948576,0.028455107894890082,0.26454247072424814
8422,0.3004105367647081,0.18219246465587874,0.6084547174163373,0.03476897351320641,0.002327065741860413,0.9666175211893634
8423,0.07082822236338437,0.9041964088788391,0.8571610423229232,0.0867621637304372,0.0012747154669619926,0.9428561531259226
8424,0.3619556438739112,0.22424329399066079,0.6384584828327252,0.07230037533359804,0.004846073785320128,0.9334631101955765
8425,0.20280178406696558,0.6044075160429379,0.3324829175219961,0.5901872694519213,0.060679792061524754,0.1597106462569015
